timestamp,customer_name,location
07:01,Melanie Carlson,drinks
07:01,David Fowler,spices
07:01,Brittany Braun,fruit
07:01,Philip Johnson,spices
07:01,Leah Thomas,dairy
07:01,Jacqueline Becker,spices
07:02,Melanie Carlson,dairy
07:02,David Fowler,fruit
07:02,Brittany Braun,fruit
07:02,Philip Johnson,fruit
07:02,Leah Thomas,drinks
07:02,Jacqueline Becker,spices
07:02,Amy Ramsey,drinks
07:02,Kevin Larsen,drinks
07:02,Amber Dunn,dairy
07:02,Belinda Kelley,fruit
07:02,Karen White,spices
07:03,Melanie Carlson,dairy
07:03,David Fowler,drinks
07:03,Brittany Braun,fruit
07:03,Philip Johnson,fruit
07:03,Leah Thomas,drinks
07:03,Jacqueline Becker,dairy
07:03,Amy Ramsey,drinks
07:03,Kevin Larsen,fruit
07:03,Amber Dunn,dairy
07:03,Belinda Kelley,fruit
07:03,Karen White,spices
07:03,Wayne Taylor,spices
07:03,Omar Nelson,dairy
07:03,Amy Brooks,drinks
07:03,Karen Martin,fruit
07:04,Melanie Carlson,dairy
07:04,David Fowler,drinks
07:04,Brittany Braun,dairy
07:04,Philip Johnson,fruit
07:04,Leah Thomas,drinks
07:04,Jacqueline Becker,dairy
07:04,Amy Ramsey,checkout
07:04,Kevin Larsen,checkout
07:04,Amber Dunn,dairy
07:04,Belinda Kelley,fruit
07:04,Karen White,drinks
07:04,Wayne Taylor,spices
07:04,Omar Nelson,dairy
07:04,Amy Brooks,spices
07:04,Karen Martin,fruit
07:04,Daniel Hernandez,fruit
07:04,Sarah Wallace,fruit
07:04,Mark James,fruit
07:04,Tiffany Kim,dairy
07:05,Melanie Carlson,spices
07:05,David Fowler,checkout
07:05,Brittany Braun,dairy
07:05,Philip Johnson,drinks
07:05,Leah Thomas,spices
07:05,Jacqueline Becker,dairy
07:05,Amy Ramsey,checkout
07:05,Kevin Larsen,checkout
07:05,Amber Dunn,checkout
07:05,Belinda Kelley,spices
07:05,Karen White,drinks
07:05,Wayne Taylor,spices
07:05,Omar Nelson,dairy
07:05,Amy Brooks,checkout
07:05,Karen Martin,fruit
07:05,Daniel Hernandez,drinks
07:05,Sarah Wallace,fruit
07:05,Mark James,fruit
07:05,Tiffany Kim,dairy
07:05,Jeffrey Moreno,dairy
07:05,Angela Carter,spices
07:05,David Davenport,dairy
07:05,Linda Martin,drinks
07:06,Melanie Carlson,checkout
07:06,David Fowler,checkout
07:06,Brittany Braun,dairy
07:06,Philip Johnson,fruit
07:06,Leah Thomas,spices
07:06,Jacqueline Becker,dairy
07:06,Amy Ramsey,checkout
07:06,Kevin Larsen,checkout
07:06,Amber Dunn,checkout
07:06,Belinda Kelley,dairy
07:06,Karen White,drinks
07:06,Wayne Taylor,fruit
07:06,Omar Nelson,drinks
07:06,Amy Brooks,checkout
07:06,Karen Martin,fruit
07:06,Daniel Hernandez,checkout
07:06,Sarah Wallace,fruit
07:06,Mark James,fruit
07:06,Tiffany Kim,dairy
07:06,Jeffrey Moreno,dairy
07:06,Angela Carter,spices
07:06,David Davenport,dairy
07:06,Linda Martin,checkout
07:06,Keith Robles,spices
07:06,Emily Miranda MD,drinks
07:06,Amy Fernandez,fruit
07:06,Jennifer Morgan,fruit
07:06,Danielle Larson,drinks
07:06,Bradley Freeman,fruit
07:06,Samuel Gonzales,dairy
07:07,Melanie Carlson,checkout
07:07,David Fowler,checkout
07:07,Brittany Braun,dairy
07:07,Philip Johnson,fruit
07:07,Leah Thomas,dairy
07:07,Jacqueline Becker,dairy
07:07,Amy Ramsey,checkout
07:07,Kevin Larsen,checkout
07:07,Amber Dunn,checkout
07:07,Belinda Kelley,dairy
07:07,Karen White,spices
07:07,Wayne Taylor,fruit
07:07,Omar Nelson,fruit
07:07,Amy Brooks,checkout
07:07,Karen Martin,drinks
07:07,Daniel Hernandez,checkout
07:07,Sarah Wallace,fruit
07:07,Mark James,checkout
07:07,Tiffany Kim,fruit
07:07,Jeffrey Moreno,dairy
07:07,Angela Carter,spices
07:07,David Davenport,dairy
07:07,Linda Martin,checkout
07:07,Keith Robles,checkout
07:07,Emily Miranda MD,drinks
07:07,Amy Fernandez,dairy
07:07,Jennifer Morgan,fruit
07:07,Danielle Larson,drinks
07:07,Bradley Freeman,fruit
07:07,Samuel Gonzales,dairy
07:07,Briana Parker,spices
07:07,Brett Mccormick,dairy
07:07,Matthew Simpson,spices
07:07,Dominic Schmidt,drinks
07:08,Melanie Carlson,checkout
07:08,David Fowler,checkout
07:08,Brittany Braun,dairy
07:08,Philip Johnson,fruit
07:08,Leah Thomas,dairy
07:08,Jacqueline Becker,dairy
07:08,Amy Ramsey,checkout
07:08,Kevin Larsen,checkout
07:08,Amber Dunn,checkout
07:08,Belinda Kelley,fruit
07:08,Karen White,spices
07:08,Wayne Taylor,fruit
07:08,Omar Nelson,checkout
07:08,Amy Brooks,checkout
07:08,Karen Martin,drinks
07:08,Daniel Hernandez,checkout
07:08,Sarah Wallace,checkout
07:08,Mark James,checkout
07:08,Tiffany Kim,checkout
07:08,Jeffrey Moreno,dairy
07:08,Angela Carter,checkout
07:08,David Davenport,dairy
07:08,Linda Martin,checkout
07:08,Keith Robles,checkout
07:08,Emily Miranda MD,drinks
07:08,Amy Fernandez,dairy
07:08,Jennifer Morgan,fruit
07:08,Danielle Larson,drinks
07:08,Bradley Freeman,fruit
07:08,Samuel Gonzales,dairy
07:08,Briana Parker,spices
07:08,Brett Mccormick,dairy
07:08,Matthew Simpson,checkout
07:08,Dominic Schmidt,checkout
07:08,Crystal Moreno,drinks
07:08,Christine Johnson,drinks
07:09,Melanie Carlson,checkout
07:09,David Fowler,checkout
07:09,Brittany Braun,dairy
07:09,Philip Johnson,drinks
07:09,Leah Thomas,dairy
07:09,Jacqueline Becker,dairy
07:09,Amy Ramsey,checkout
07:09,Kevin Larsen,checkout
07:09,Amber Dunn,checkout
07:09,Belinda Kelley,checkout
07:09,Karen White,drinks
07:09,Wayne Taylor,fruit
07:09,Omar Nelson,checkout
07:09,Amy Brooks,checkout
07:09,Karen Martin,spices
07:09,Daniel Hernandez,checkout
07:09,Sarah Wallace,checkout
07:09,Mark James,checkout
07:09,Tiffany Kim,checkout
07:09,Jeffrey Moreno,checkout
07:09,Angela Carter,checkout
07:09,David Davenport,dairy
07:09,Linda Martin,checkout
07:09,Keith Robles,checkout
07:09,Emily Miranda MD,checkout
07:09,Amy Fernandez,dairy
07:09,Jennifer Morgan,dairy
07:09,Danielle Larson,drinks
07:09,Bradley Freeman,dairy
07:09,Samuel Gonzales,dairy
07:09,Briana Parker,checkout
07:09,Brett Mccormick,dairy
07:09,Matthew Simpson,checkout
07:09,Dominic Schmidt,checkout
07:09,Crystal Moreno,drinks
07:09,Christine Johnson,drinks
07:09,Matthew Odonnell,spices
07:09,Ian Yates,dairy
07:09,Andrea Mcdonald,dairy
07:10,Melanie Carlson,checkout
07:10,David Fowler,checkout
07:10,Brittany Braun,dairy
07:10,Philip Johnson,fruit
07:10,Leah Thomas,dairy
07:10,Jacqueline Becker,dairy
07:10,Amy Ramsey,checkout
07:10,Kevin Larsen,checkout
07:10,Amber Dunn,checkout
07:10,Belinda Kelley,checkout
07:10,Karen White,drinks
07:10,Wayne Taylor,fruit
07:10,Omar Nelson,checkout
07:10,Amy Brooks,checkout
07:10,Karen Martin,checkout
